"Center","Title","Faculty Name","Research Area","Type of Work","Current State of work","Potential Applications","Keywords"
"CCNSB","A minimal neuronal model for synaptic integration","Adrian Alva, Harjinder Singh","Nonlinear Dynamics","Idea","OTHER","Simulations, Modelling",""
"CCNSB","Predicting Evaporation events using Deep Learning","Srijan Singh, Parth Goyal, Prabhakar Bhimalapuram","Molecular Dynamics","","Poster png","Molecular Dynamics, Deep Learning",""
"CCNSB","Dynamic reorganization of transcriptome during liver regeneration","Manisri P, P.K. Vinod","","Data set","OTHER","",""
"CCNSB","Mathematical modelling of neuronal cell cycle re-entry in neurodegenerative diseases","Nishtha Pandey, P. K. Vinod","Computational systems biology","Idea","OTHER","Therapeutics",""
"CCNSB","Modeling the liver circadian clock control by nutrients","Sathvik Sanjeev B, Manisri P, P. K. Vinod","Computational systems biology","Idea","OTHER","Therapeutics",""
"CCNSB","Precise Limits on charge-2 - 3 U1 Leptoquark","Subhadip Mitra, Cyrin neeraj, Arvind Bhaskar","","","","",""
"CCNSB","Hunting for scalar leptoquarks with boosted tops and light leptons","Kushagra Chandak, Subhadip Mitra, Tanumoy Mandal","HIgh energy phenomenology","Idea","OTHER","",""
"CCNSB","Mathematical modelling of the meiosis II exit in xenopus oocytes","Rishika Sharma, Prakrati Dangarh, P. K. Vinod","Computational systems biology","Idea","OTHER","",""
"CCNSB","Classification using quantum neural networks","Utkarsh, Shweta sahoo, Harjinder Singh","","","","Therapeutics (channelopathic diseases)",""
"CCNSB","Molecular dynamics study of ion transportation through synthetic ion channel","Shruti Jeurkar, Deva Priyakumar U.","Molecular Dynamics","","","Therapeutics (channelopathic diseases)",""
"CCNSB","Learning Atomic Interactions through Solvation Free Energy Prediction Using Graph Neural Networks","Yashaswi Pathak, Sarvesh Mehta, Deva Priyakumar U.","","","","",""
"CCNSB","Enhanced Sampling of Chemical Space for High Throughput Screening Applications using Machine Learning","Sarvesh Mehta, Siddhartha Laghuvarapu, Yashaswi Pathak, Aaftaab Sethi, Mallika Alvala, Deva Priyakumar U.","Bayesian Optimization","Algorithm","Technology designed and implemented","Drug Design",""
"CCNSB","DockingRL - A Reinforcement Learning Guided Method to Generate Moleculesthat Dock Well to Drug Targets","Manan Goel, Shampa Raghunathan, Siddhartha Laghavarapu, Deva Priyakumar U.","Drug Design","Algorithm","Technology designed and implemented","Find potential drugs for novel targets that can be used as candidates in drug trials",""
"CCNSB","Covid-19 detection using CNN","Suba S, Nita Parekh","","","","",""
"CCNSB","Demographic Analysis of Mutations in SARS-CoV-2 Isolates from India","Kushagra Agarwal, Nita Parekh","","","","",""
"CCNSB","Structural modulation in Smoothened receptor - SMO - upon cholesterol binding","Shweta Kumari, Abhijit Mitra and Gopalakrishnan Bulusu","Molecular Dynamics","Idea","OTHER","Coarse-grained Molecular simulations, Modelling",""
"CCNSB","Quantum Bomb Detection using the Zeno Effect","Utkarsh, Adrian Alva, Harjinder Singh","","","","",""
"CCNSB","Neural network potentials","Rohit Modee, Deva Priyakumar U.","Computational chemistry, Machine learning","OTHER","OTHER","Computational chemistry, Molecular dynamics",""
"CCNSB","Dynamics of Naive T lymphocyte Quiescence Exit","Nishtha P, Gayathri Vinjamuri, P. K. Vinod","Computational systems biology","Idea","OTHER","Therapeutics",""
"CCNSB","Comparative study of human insulin and insulin aspart dimer dissociation in aqueous solution","Yagya Chaudhary","","","","",""
"CCNSB","Risk Stratification and Mortality Prediction on hospitalized COVID-19 patients","Shanmukh A, Akshaya K, Akshit G, P. K. Vinod, Deva Priyakumar U.","Machine Learning, Healthcare","OTHER","OTHER","Therepeutics, Resource Allocation",""
"CCNSB","Qubit Routing Strategies Using Machine Learning","Animesh Sinha, Utkarsh, Harjinder Singh","Machine Learning","Idea","OTHER","Quantum Compilation",""
"CCNSB","Inverse Molecular Problem of determining the structure of a molecule from its C-13 NMR Spectroscopy","Bhuvanesh Sridharan, Sarvesh Mehta, Yashaswi Pathak, Deva Priyakumar U.","Deep Reinforcement Learning","Algorithm","Technology designed and implemented","Computational Chemistry, Molecule Discovery and Identification",""
"CCNSB","Minimum Energy path In Kinase Conformation","Shaunak Badani, Madhur Agarwal, M Krishnan","","","","",""
"CCNSB","Quantum Circuit Transformation using Reinforcement Learning","Animesh Sinha, Utkarsh, Prof Harjinder Singh","","","","",""
