"Center","Title","Faculty Name","Research Area","Type of Work","Current State of work","Potential Applications","Keywords"
"CSTAR","Revocation and Reconstruction of Shared Quantum Secret","Prakash Mudholkar, V. Chiranjeevi, Indranil Chakrabarty and Kannan Srinathan","","OTHER","OTHER","Design of a more secured quantum secret sharing protocols.",""
"CSTAR","Witnessing Negative Conditional Entropy","Mahathi Vempati, Indranil Chakrabarty, Nirman Ganguly , Arun K Pati","Quantum Information","OTHER","OTHER","Detection of useful states in information-theoretic protocols.",""
"CSTAR","Parallel algorithms for multi-source BFS and its applications","Seema Simoliya, Kishore Kothapalli","Graph algorithms","Algorithm","Technology designed but not implemented","Graph analytics",""
"CSTAR","Diameter calculation in Incremental graphs","Thejasvi Konduru, Kishore Kothapalli","Graph algorithms","Algorithm","Technology designed but not implemented","Real world networks are incremental graphs and the diameter computation helps us to know the development of network with time.Ex:-Facebook can be visualized as a graph where every node is a person and edge between two persons indicate whether they are friends and this graph is an incremental graph as we can unfriend a person in facebook due to which the edge between those two persons will be deleted.",""
"CSTAR","Percolation Centrality","Athreya Chandramouli, Sayantan Jana, Kishore Kothapalli","Graph centrality computations","Algorithm","Technology designed and implemented","Study of Contact Networks for Viruses, diseases or spread of rumours",""
"CSTAR","Generating Efficient Block Sparse Neural Networks using RBGP Framework","Furqan Ahmed Shaik, Dharma Teja Vooturi, Girish Varma, Kishore Kothapalli","Sparse Neural Networks","Idea","Technology designed and implemented","Computer Vision, Improved GPU performance,",""
"CSTAR","Design and Testbed Experiments of Public Blockchain-Based Security Framework for IoT-Enabled Drone-Assisted Wildlife Monitoring","Ankush Mitra, Basudeb Bera, and Ashok Kumar Das","","","","",""
"CSTAR","Smart Contract-Based Blockchain-Envisioned Authentication Scheme for Smart Farming","Anusha Vangala, Anil Kumar Sutrala, Ashok Kumar Das, and Minho Jo","","","","",""
"CSTAR","AI-Enabled Blockchain-Based Access Control for Malicious Attacks Detection and Mitigation in IoE","Basudeb Bera, Ashok Kumar Das, Mohammad S. Obaidat, Pandi Vijayakumar, Kuei-Fang Hsiao, and YoungHo Park","","","","",""
"CSTAR","Blockchain-based batch authentication protocol for Internet of Vehicles","Palak Bagga, Ashok Kumar Das, Anil Kumar Sutrala, and Pandi Vijayakumar","Internet of vehicle, Security, Cryptography","Algorithm","","Smart City, Smart Transaportation",""
"CSTAR","Consortium blockchain-enabled access control mechanism in edge computing based generic IoT environment","Sourav Saha, Durbadal Chattaraj, Basudeb Bera, and Ashok Kumar Das","","","","Smart City, Smart Transaportation, Industrial IoT",""
"CSTAR","Classification of maps which benefit from indefinite causal order -","Rohan Sharma, Indranil Chakrabarty, Chiranjib Mukhopadhyay","","","","",""
"CSTAR","Witnessing Negative Conditional Entropy","Mahathi Vempati, Indranil Chakrabarty, Nirman Ganguly , Arun K Pati","Quantum Information","OTHER","OTHER","Detection of useful states in information-theoretic protocols.",""
