"Center","Title","Faculty Name","Research Area","Type of Work","Current State of work","Potential Applications","Keywords"
"EERC","Primer on Rapid Visual Screening of Buildings, NDMA","Aniket Bhalkikar,Pulkit Velani,Raghunandan Vyas.P, Neelima Patnala, Niharika Talyan,Bharat Prakke, Pradeep Ramancharla","Seismic Vulnerability Assessment","","","",""
"EERC","UNDP Ward Disaster Management Plan for Visakhapatnam","Raghunandan Vyas.P,Pulkit Velani ,Aniket Bhalkikar, Supriya Yerramsetty,Bharat Prakke, Pradeep Kumar Ramancharla","","","","",""
"EERC","UNDP Ward Disaster Management Plan for Vijayawada","Supriya Yerramsetty,Pulkit Velani ,Aniket Bhalkikar, Raghunandan Vyas.P, Pradeep Kumar Ramancharla","","","","",""
"EERC","Hazard, Vulnerability and Risk Assessment of Himachal Pradesh","Rajaram Chenna, Ajay Sreerama, Pulkit Velani ,S.Raju, Krishna Babu Predeep Kumar Ramancharla","","","","",""
"EERC","Structural HealthMonitoring of Building using IITK Sensor due to Seismic Disturbances in Chandigarh, India","Himachandan Dasari, Pulkit Velani, Pradeep Kumar Ramancharla","Seismic vulnerability and Structural health Monitoring","","","",""
"EERC","Seismic Analysis and Design Recommendations for Uran-Chakan-Shikrapur LPG Pipeline","Pulkit Velani, Supriya Yerramsetty, Pradeep Kumar Ramancharla","","","","",""
"EERC","Vulnerability Assessment of Heritage Structure - Ramappa Temple - due to Blast Induced Ground Motions","D. Hima Chandan, R. Pradeep Kumar D. Srinagesh , T. Seshunarayana , R. K. Chadha ,Narender Bodige, G. Suresh and C. V. R. Murty","","","","",""
"EERC","Seismic Performance Of RC Tall Building With Columns Resting On Transfer Storey","Pradeep Kumar R, Pulkit Velani","","","","",""
"EERC","Path Dependent Seismic Energy Attenuation at Site from the Himalayan and Hindu Kush region Earthquakes","Niharika Talyan, Pradeep Kumar R","","","","",""
"EERC","A comparative study of absorbing layer method for radiating boundary conditions","Ravi Shankar Badry,Pradeep Kumar R","","","","",""
"EERC","Local Absorbing Boundary Conditions for Visco-Elastic Wave Propagation in Unbounded Domain","Ravi Shankar Badry,Pradeep Kumar R","","","","",""
"EERC","Forecasting Earthquakes Using Recurrent Neural Networks","Swapnil Nayan, Aniket.B, Bharat.P, Pradeep Kumar R","","","","",""
"EERC","A Comparitive Study of Different RVS Methods used for Preliminary Assessemnt of existing RC Buildings","Aniket.B, Pradeep Kumar R","","","","",""
"EERC","Performance Assessment of Buildings Designed with and without SSI","Etoori Keerthana and Pradeep Kumar R","","","","",""
"EERC","Earthquake Behaviour of Buildings on Slopes","Ramya.G, Pradeep Kumar R","","","","",""
"EERC","New Empirical Formula for Fundamental Period of Tall Buildings in India by Ambient Vibration Test","Pradeep kumar R,Pulkit.V","","","","",""
"EERC","Quantification Of Damage Using Hinge Pattern In RC Moment Resisting Frame Buildings","Aniket Bhalkikar and Pradeep Kumar R","","","","",""
"EERC","Comparison of Building Performance with Partial Retrofitting and Full Retrofitting","Niharika T., Aniket B. And Pradeep Kumar R","","","","",""
"EERC","Estimation Of Seismic Hazard For Kathmandu, Nepal And Adjacent Regions","C.Rajaram, P.Neelima, Pradeep Kumar R","","","","",""
"EERC","Effect of fault normal and parallel components of near and far field ground motions on low rise buildings","P.Neelima, Pradeep Kumar R","","","","",""
"EERC","Variation Of Ground Motion Characteristics In Parallel And Normal Directions In Near-Fault Region - A Case Study On 1999 Chi-Chi Earthquake","P.Neelima, Pradeep Kumar R","","","","",""
"EERC","Comparision Of Direct Displacement Seismic Design With Force Based Design Using Indian Standards - A Case Study","P.Vyas, Pradeep Kumar R","","","","",""
"EERC","Design Optimization of RC Moment Frames by ABC Optimization and Finite Element Method using System of Design Rules","G.Harshavardhen, Sunitha Palissery","","","","",""
"EERC","EFFECTS OF VERTICAL GROUND MOTIONS ON THE DESIGN OF REGULAR RC BUILDINGS LOCATED IN SEISMIC ZONE V","P.Vyas, Pradeep Kumar R","","","","",""
"EERC","Verification Of The Sufficiency Of Adjustment Of Mass For Compensating The Accidental Eccentricities","P.Vyas, Pradeep Kumar R","","","","",""
"EERC","Earthquake Disaster Risk Index - A Simple Method for Assessing Relative Risk in a Country","Pradeep Kumar R, C.V.R. Murthy","","","","",""
"EERC","Analysis Of Hill Slope Buildings For Twist Variation With Change In Aspect Ratio","Rahul Vishwakarma Suresh, Pradeep Kumar R","","","","",""
"EERC","IMPORTANCE OF SEISMIC SAFETY OF NONSTRUCTURAL ELEMENTS IN HOSPITAL BUILDINGS","S .Saranya , Sunitha Palissery","","","","",""
"EERC","QUANTIFYING PARAMETERS FOR IMPROVED ENERGY DISSIPATION CAPACITY IN LOW-RISE RC OPEN STOREY BUILDINGS","Sai Vineela , Sunitha Palissery","","","","",""
