"Center","Title","Faculty Name","Research Area","Type of Work","Current State of work","Potential Applications","Keywords"
"LTRC","Speech Processing Laboratory Lab poster","Ganesh S Mirishkar. Purva Sharma ,Anil Kumar Vuppala","","Software System","","Voice Biometerics,",""
"LTRC","Towards automatic assesment of voice disorder - a clinical approach","Purva Sharma, Anil Kumar Vuppala","","Software System","","",""
"LTRC","Multilingual speech recognition system in Indian scenario","Ganesh S Mirishkar. Anil Kumar Vuppala","","Software System","","",""
"LTRC","INDICAP - A MULTILINGUAL SPEECH TRANSLATION APPLICATION","Ganesh S Mirishkar. Anil Kumar Vuppala","","Software System","","",""
"LTRC","An architecture for a Dialogue System for Depression Detection","Freya Mehta, Ayush Tripathi, Shreyas H.N, Radhika Mamidi","","Software System","Technology designed and implemented","",""
"LTRC","A Novel Annotation Schema for Conversational Humor - Capturing the cultural nuances in Kanyasulkam","Vaishnavi Pamulapati, Gayatri Purigilla and Radhika Mamidi","","Data set","OTHER","",""
"LTRC","Unsupervised Graph based Text Summarization","Vakada Lakshmi Sireesha,Charan Chinni, Mounika Marreddy, Subba Reddy Oota , Radhika Mamidi","","Software System","Technology designed and implemented","",""
"LTRC","Multi-Task Text Classification using Graph Convolutional Neural Networks for Resource-Poor Language","Mounika Marreddy, Vakada Lakshmi Sireesha, Venkata Charan Chinni, Subba Reddy Oota , Radhika Mamidi","","Software System","Technology designed and implemented","",""
"LTRC","Question and Answer Pair Generation for Short Stories","Meghana Bommadi, Shreya Terupally, Radhika Mamidi","","Software System","Technology designed but not implemented","",""
"LTRC","SUKHAN - Corpus of Hindi Shayaris annotated with Sentiment Polarity Information","Salil Aggarwal, Abhigyan Ghosh, Radhika Mamidi","","Data set","OTHER","",""
"LTRC","Modelling Character Relationships from short stories","Ujwal Narayan, Sriharsh Bhyravajulla, Manish Shrivastava","Narrative Understanding","Software System","Technology designed but not implemented","recommendation systems",""
"LTRC","Exploring the role of pitch in predicting clause and sentence boundaries","Tanmai Khanna, Ganesh Mirishkar, Dipti M. Sharma, Anil K. Vuppala","Speech Processing, MT","Software System","Technology designed and implemented","",""
"LTRC","AVADHAN - System for Open - Domain Telugu Question Answering","Priyanka Ravva, Ashok Urlana, Manish Shrivastava","","Data set","OTHER","",""
"LTRC","Dataset for Aspect Detection on Mobile Reviews in Hindi","Ayush Joshi, Pruthwik Mishra, Dipti Misra Sharma","Opinion Mining","Data set","OTHER","",""
"LTRC","LTRC Lab Poster","","","","","",""
"LTRC","TOWARDS COMPUTING INFERENCES FROM AN UTTERANCE","Elizabeth Jasmi George, Dr. Radhika Mamidi","","Software System","Technology designed and implemented","",""
"LTRC","EquGener - A Reasoning Network for Word Problem Solving by Generating Arithmetic Equations","Pruthwik Mishra, Litton J Kurisinkel, Dipti Misra Sharma, Vasudeva Varma","NLU","Software System","Technology designed and implemented","",""
"LTRC","THE INDIAN LANGUAGES EVENTS PROJECT","Pranav Goel, Suhan Prabhu, Alok Debnath, Priyank Modi","","Data set","OTHER","",""
"LTRC","Fake News Detection","Vandan Mujadia, Pruthwik Mishra, Dipti Misra Sharma","","Software System","Technology designed and implemented","",""
"LTRC","HATE SPEECH DETECTION AND INSINCERE QUESTION CLASSIFICATION","Vandan Mujadia, Pruthwik Mishra, Dipti Misra Sharma","","Software System","Technology designed and implemented","",""
