"Center","Title","Faculty Name","Research Area","Type of Work","Current State of work","Potential Applications","Keywords"
"RRC","Aerial Transportation of Unknown Payloads - Adaptive Path Tracking for Quadrotors","Viswa Narayanan S., Spandan Roy, Simone Baldi","Control systems","System design though NOT a software","Technology designed and implemented","Payload carrying autonomous quadrotors",""
"RRC","Robust Manoeuvring of Quadrotor under Constrained Space and Predefined Accuracy","Sourish Ganguly, Viswa Narayanan S., Spandan Roy","Control systems","System design though NOT a software","Technology designed and implemented","Navigation through constrained environments for quadrotors with payload",""
"RRC","DRACO - Dense Reconstruction And Canonicalization of Objects","Rahul Sajnani, AadilMehdi Sanchawala (have not listed all)","Object level canonicalization, pose estimation, and reconstruction","Algorithm","Technology designed and implemented","Canonical reconstruction provides information to robots and allows them to manipulate and interact with objects in their surroundings",""
"RRC","Small Obstacle Detection","Aasheesh Singh, Aryan Sakaria","Image segmentation, instance detection","Software System","Technology designed and implemented","Autonomous cars",""
"RRC","Aerial Manipulator","K Madhava Krishna, Spandan Roy, Hari Kumar K, Nagamanikandan G, Viswa S Narayanan, Suraj Bongiri, Rahul Kashyap S, Karan M, Vedant M, Sirish S, Vishnu K, Rishab, Pawan S","Visual Servoing & Control in robotics","Modeling","Control","Quadcopter",""
"RRC","Real Time Static Obstacle Avoidance Outdoors","Deepak Singh, Sudarshan, Rishab, Harshit","Autonomous navigation","Hardware System","Technology designed and implemented","Autonomous flight for quadrotors in urban environments for transport, surveillance, etc",""
"RRC","Deep Flow Guided Visual Servoing","Y V S Harish, Shreya Terupally, Harit Pandya, Ayush Gaud, Sai Shankar, K Madhava Krishna, M. Nomaan Qureshi ","Visual Navigation, Visual Servoing","Algorithm","Technology designed and implemented","Indoor and outdoor navigation using camera as a main sensor.",""
"RRC","A Multi-Output Differential controlled In-Pipe Climber robot","Rama Vadapalli, Saharsh Agarwal, Vishnu Kumar, Rishabh Dev Yadav, Pavan Shetty, Nagamanikandan Govindan, K. Madhava Krishna.","Design and mechanism development, Passive controls","Hardware System","Technology designed and implemented","Industrial pipelines, Pipe inspection in Petrochemical industries, Defence applications",""
"RRC","Multibody Monocular SLAM using Pose-Graph Optmizations","Gokul B. Nair, Swapnil Daga, Rahul Sajnani, Anirudha Ramesh, Junaid Ahmed Ansari, J. Krishna Murthy, K. Madhava Krishna","Simultaneous Localization and Mapping, Monocular Perception","Algorithm","Technology designed and implemented","Mapping multiple dynamic agents and ego-agent on a common map in autonomous navigation scenarios.",""
"RRC","Topological Mapping for Manhattan-like Repetitive Environments","Sai Shubodh Puligilla, Satyajit Tourani, Tushar Vaidya, Udit Singh Parihar, Ravi Kiran Sarvadevabhatla and K. Madhava Krishna","Simultaneous Localization and Mapping","Algorithm","Technology designed and implemented","Environments which have repetitive textures, such as warehouses",""
"RRC","DeepMPCVS - Deep Model Predictive Control For Visual Servoing","Pushkal Katara, YVS Harish, Harit Pandya, Abhinav Gupta*, AadilMehdi Sanchawala*, Gourav Kumar, Brojeshwar Bhowmick and K. Madhava Krishna","Visual Servoing, Visual Navigation, Robotic Control, Vision-based Robotics","Algorithm","Technology designed and implemented","Navigation and localisaton of mobile robots, robust and optimal control generation for vision-guided robotics",""
"RRC","Underwater Continuum Manipulator with Gripper","Sourav Karmakar, Pratik K Bulani, Vineeth Gaddam","Bio-Robotics & Flexible Robotics","Hardware System","Technology designed and implemented","It can be used as an assistive robot for underwater pick and drop operations.",""
"RRC","Controlling Solar Sail Actuation in Outerspace","Sourav Karmakar, Madhava Krishna","Origami Robotics","Hardware System","Technology thoroughly tested","Controlling Solar Sail Actuation in Outerspace",""
"RRC","Cooperative Control and Collision Avoidance in Multi-UAV swarms","Vikrant Dewangan, Harikumar Kandath, Sachin Chaudhari, K. Madhava Krishna","Swarm Robotics","Software System","Technology designed and implemented","Multi-UAV scenes",""
"RRC","Person Following Robot","Avijit Ashe, Madhav Krishna","HRI, Control","Software System","Technology designed and implemented","Assistive, Service Robots",""
"RRC","MPC based multi-target tracking using a swarm of fixed wing UAVs","Animesh sahu, Harikumar Kandath, K. Madhava Krishna","Control systems","Algorithm","Technology designed and implemented","visual servoing and target tracking",""
