"Center","Title","Faculty Name","Research Area","Type of Work","Current State of work","Potential Applications","Keywords"
"SERC","Dynamic Path Generation System for Continuous Walking in Finite Space using VR","Raghav Mittal, Sai Anirudh Karre, Y. Raghu Reddy","Virtual Reality and Human-computer interaction","Software System","Product being developed","Mental health therapies, serious gaming to motivate physical activity, virtual jogging and cycling, fun activities for children, Spatial cognition experiments, learning ability testing, user perception studies, Information presentation, exhibitions, training, virtual museums and heritage walk",""
"SERC","Scalable and Extensible Crawlers","Ganesh Sai, Lalit Mohan, Y. Raghu Reddy","Information Retrieval and Extraction","Desing and Implementation","Product being developed","Extracting relevant URLs and content based on keywords.",""
"SERC","VREye - Towards building a Customized Head Mount Display for Virtual Reality Applications -","Pawankumar Gururaj Yendigeri, Shivang Shekhar, Sai Anirudh Karre, Syed Azeemuddin, Y. Raghu Reddy","Virtual reality, Embedded Systems","Designing 3D model for VR headset, testing different screen resolution for VR scene rendering","Product being developed","Targeting rural areas for medical support, educational and socio-economic aspect",""
"SERC","Identifying the cyberattacks from the Text","Sai Raju Ramchander Chikkala, Lalit Mohan Sanagavarapu, Y. Raghu Reddy","Security Analytics","Software System","OTHER","Information security and Text Analytics.",""
"SERC","Impact of Covid on Virtual Lab","Venkatesh Choppella, Ravi Shankar, Priya Raman, Ojas Mohril, Raj Agnihotri","Virtual Labs Project","OTHER","OTHER","Virtual Labs",""
"SERC","Dr - Venkatesh Choppella Research Areas","Venkatesh Choppella","My research areas are broadly in Programming Languages and Formal Software Engineering, Web accessibility and security, Educational Technology and S/W Engineering education","Theory, Practice, Pedagogy, Empirical methods","OTHER","Web development, teaching, algorithmic design of systems",""
"SERC","Methodology to Develop Domain Specific Modeling Languages","Amar Banerjee, Venkatesh Choppella","","Software System","Product being developed","domain specific language, domain knowledge, language engneering",""
"SERC","Virtual Labs Outreach","Venkatesh Choppella","Virtual labs Project","OTHER","OTHER","Virtual Labs",""
"SERC","Virtual Labs Experiment Pedagogy","Venkatesh Choppella","Virtual Labs Experiments","OTHER","OTHER","Virtual Labs Experiment Pedagogy",""
"SERC","Smart Contracts for Opensource Software License Management","Abhay Mehtre, Lalit Mohan S, Y. Raghu Reddy, Abhinav Gupta","Blockchain and Software Engineering, Smart Contracts","OTHER","OTHER","Digital Identity, Copyright Protection, Smart contracts",""
"SERC","Understanding Software Quality Metrics for VR Products - A Mapping Study","Mohit Kuri, Sai Anirudh Karre, Y. Raghu Reddy","Virtual Reality","OTHER","OTHER","Quality metrics that could be used to assess the quality of VR products",""
"SERC","A Fine Grained Approach to Develop Domain Specific Search Engine","Lalit Mohan S, Y. Raghu Reddy","Cyber security","OTHER","OTHER","",""
"SERC","Type safe tensor combinators","Bharathi Ramana Joshi, Venkatesh Choppella","","OTHER","Technology designed but not implemented","Scientific computing, machine learning",""
