"Center","Title","Faculty Name","Research Area","Type of Work","Current State of work","Potential Applications","Keywords"
"SPCRC","Sparse Bayesian Learning for Acoustic Source Localization","Ruchi Pandey and Santosh Nannuru","Array signal processing/ Compressive sensing","","","Sound source localization using sensor arrays has applications in many areas including advanced driver assistant systems, hearing aids, smart home appliances, drones for rescue operations, etc.",""
"SPCRC","Secure Regenerating Codes for Reducing Storage and Bootstrap costs in Sharded blockchains","Divija Swetha and Lalitha Vadlamani","","","","",""
"SPCRC","Decoding Reed Muller Codes","Harshithanjani,Rasagna and Lalitha Vadlamani","","","","",""
"SPCRC","Buffer assistant amplify and forward relay using MM technique","Naga Manoj Makkena and P Ubaidulla","","","","",""
"SPCRC","Millimeter wave downlink system","Kali Krishna Kota and P Ubaidulla","","","","",""
"SPCRC","IoT network-based analysis of variations in particulate matter due to Covid lockdown","Souradeep Deb and Sachin Chaudhari","","","","",""
"SPCRC","Beamformed Sensing using Dominant DoAin Cognitive mmWave Network","Madhuri Latha and Sachin Chaudhari","","","","",""
"SPCRC","Improving Spatio-Temporal Understanding of Particulate Matter using Low-Cost IoT Sensors","C Rajashekar Reddy and Sachin Chaudhari","","","","",""
"SPCRC","Satellite based IoT networks through LEO constellations","Ayush Kumar Dwivedi and Sachin Chaudhari","","","","",""
"SPCRC","Demo - AirIoT - Air Pollution Monitoring Network using Low-Cost Sensors","Sara Spanddhana, Ayu Parmar and Sachin Chaudhari","","","","",""
"SPCRC","Coded data rebalancing","Shubransh Singhvi and P. Krishnan","","","","",""
"SPCRC","Pliable index coding","Visvesh Subramanian and P. Krishnan","","","","",""
