"Center","Title","Faculty Name","Research Area","Type of Work","Current State of Work","Potential Applications","Keywords"
"CBS","Residential Building Energy Demand Reduction","Vishal Garg","","","","",""
"CCNSB","A minimal neuronal model for synaptic integration","Adrian Alva, Harjinder Singh","Nonlinear Dynamics","Idea","OTHER","Simulations, Modelling",""
"CCNSB","Predicting Evaporation events using Deep Learning","Srijan Singh, Parth Goyal, Prabhakar Bhimalapuram","Molecular Dynamics","","Poster png","Molecular Dynamics, Deep Learning",""
"CCNSB","Dynamic reorganization of transcriptome during liver regeneration","Manisri P, P.K. Vinod","","Data set","OTHER","",""
"CCNSB","Mathematical modelling of neuronal cell cycle re-entry in neurodegenerative diseases","Nishtha Pandey, P. K. Vinod","Computational systems biology","Idea","OTHER","Therapeutics",""
"CCNSB","Modeling the liver circadian clock control by nutrients","Sathvik Sanjeev B, Manisri P, P. K. Vinod","Computational systems biology","Idea","OTHER","Therapeutics",""
"CCNSB","Precise Limits on charge-2 - 3 U1 Leptoquark","Subhadip Mitra, Cyrin neeraj, Arvind Bhaskar","","","","",""
"CCNSB","Hunting for scalar leptoquarks with boosted tops and light leptons","Kushagra Chandak, Subhadip Mitra, Tanumoy Mandal","HIgh energy phenomenology","Idea","OTHER","",""
"CCNSB","Mathematical modelling of the meiosis II exit in xenopus oocytes","Rishika Sharma, Prakrati Dangarh, P. K. Vinod","Computational systems biology","Idea","OTHER","",""
"CCNSB","Classification using quantum neural networks","Utkarsh, Shweta sahoo, Harjinder Singh","","","","Therapeutics (channelopathic diseases)",""
"CCNSB","Molecular dynamics study of ion transportation through synthetic ion channel","Shruti Jeurkar, Deva Priyakumar U.","Molecular Dynamics","","","Therapeutics (channelopathic diseases)",""
"CCNSB","Learning Atomic Interactions through Solvation Free Energy Prediction Using Graph Neural Networks","Yashaswi Pathak, Sarvesh Mehta, Deva Priyakumar U.","","","","",""
"CCNSB","Enhanced Sampling of Chemical Space for High Throughput Screening Applications using Machine Learning","Sarvesh Mehta, Siddhartha Laghuvarapu, Yashaswi Pathak, Aaftaab Sethi, Mallika Alvala, Deva Priyakumar U.","Bayesian Optimization","Algorithm","Technology designed and implemented","Drug Design",""
"CCNSB","DockingRL - A Reinforcement Learning Guided Method to Generate Moleculesthat Dock Well to Drug Targets","Manan Goel, Shampa Raghunathan, Siddhartha Laghavarapu, Deva Priyakumar U.","Drug Design","Algorithm","Technology designed and implemented","Find potential drugs for novel targets that can be used as candidates in drug trials",""
"CCNSB","Covid-19 detection using CNN","Suba S, Nita Parekh","","","","",""
"CCNSB","Demographic Analysis of Mutations in SARS-CoV-2 Isolates from India","Kushagra Agarwal, Nita Parekh","","","","",""
"CCNSB","Structural modulation in Smoothened receptor - SMO - upon cholesterol binding","Shweta Kumari, Abhijit Mitra and Gopalakrishnan Bulusu","Molecular Dynamics","Idea","OTHER","Coarse-grained Molecular simulations, Modelling",""
"CCNSB","Quantum Bomb Detection using the Zeno Effect","Utkarsh, Adrian Alva, Harjinder Singh","","","","",""
"CCNSB","Neural network potentials","Rohit Modee, Deva Priyakumar U.","Computational chemistry, Machine learning","OTHER","OTHER","Computational chemistry, Molecular dynamics",""
"CCNSB","Dynamics of Naive T lymphocyte Quiescence Exit","Nishtha P, Gayathri Vinjamuri, P. K. Vinod","Computational systems biology","Idea","OTHER","Therapeutics",""
"CCNSB","Comparative study of human insulin and insulin aspart dimer dissociation in aqueous solution","Yagya Chaudhary","","","","",""
"CCNSB","Risk Stratification and Mortality Prediction on hospitalized COVID-19 patients","Shanmukh A, Akshaya K, Akshit G, P. K. Vinod, Deva Priyakumar U.","Machine Learning, Healthcare","OTHER","OTHER","Therepeutics, Resource Allocation",""
"CCNSB","Qubit Routing Strategies Using Machine Learning","Animesh Sinha, Utkarsh, Harjinder Singh","Machine Learning","Idea","OTHER","Quantum Compilation",""
"CCNSB","Inverse Molecular Problem of determining the structure of a molecule from its C-13 NMR Spectroscopy","Bhuvanesh Sridharan, Sarvesh Mehta, Yashaswi Pathak, Deva Priyakumar U.","Deep Reinforcement Learning","Algorithm","Technology designed and implemented","Computational Chemistry, Molecule Discovery and Identification",""
"CCNSB","Minimum Energy path In Kinase Conformation","Shaunak Badani, Madhur Agarwal, M Krishnan","","","","",""
"CCNSB","Quantum Circuit Transformation using Reinforcement Learning","Animesh Sinha, Utkarsh, Prof Harjinder Singh","","","","",""
"CogSci","Multimodal fusion analysis to identify complex bio markers for cocaine users","Sai Siddharth Duvvada","","","","",""
"CogSci","Skill Learning in Internally-guided Motor Paradigms","Anuj Shukla, Bapi Raju","","","","",""
"CogSci","Kinship Recognition - Comparing Eye-Tracking Results with Model Estimates","Deepti Mahesh","","","","",""
"CogSci","Trust in Stock Price Predictions By Algorithms","Dhiraj Jagadale","","","","",""
"CogSci","COVID impact on psychological health","Minaxi Goel","","","","",""
"CogSci","Head-movement Analysis of 360 Affective Experience","Priyanka Srivastava, Mayank Agrawal, Rishabh Singhal, Runa Chand & Baijesh Ramesh","","","","",""
"CogSci","Clickbait -- Credibility of Digital News","Kavita Vemuri","","","","",""
"CogSci","Numerical Magnitude Affects Accuracy but not Precision of Temporal Judgments","ANUJ SHUKLA, Bapi Raju","","","","",""
"CogSci","Towards Cross-View Brain Decoding","Charan , Manish Gupta Sir and Bapi Raju Sir","","","","",""
"CogSci","Multi-modal approach for predicting the risk of depression using music streaming data","Yudhik Agrawal, Yash Goyal","","","","",""
"CogSci","Mining Musicality with Multimodal Fusion","Prof. Vinoo Alluri","","","","",""
"CogSci","Characterisation of development of the ageing brain","Aditya Jain, S Bapi Raju","","","","",""
"CogSci","Graph Convolutional Networks using Multiple Heat Kernels for Learning Structure-to-resting State Function Mapping","Archi Yadav, Arpita Dash","","","","",""
"CogSci","NLP Techniques For Lyric Analysis And Its Use In Song Recommendations","R Guru Ravi Shanker, Vinoo Alluri","","","","",""
"CogSci","How does practice impact performance on complex problem solving Task - - Empirical Findings and Modelling using chess as behavior model and implications for the classroom","Bapi Raju","","","","",""
"CogSci","Predicting Individual Differences and Preferences from Music Induced Movement","Vinoo Alluri, Yudhik Agrawal","","","","",""
"CogSci","Self-Automated Vs - Self-Motivated Finger Tapping Movements Using Novel Single-Frequency Filtering applied to EEG Data","Kavita Vemuri","","","","",""
"CogSci","visual objectification of Women","","","","","",""
"CogSci","Does meditation improve brain structure and function - -","Mahukar dwivedi, Aditya Jain Pansari","","","","",""
"CogSci","Indian Language Aphasia Battery development","Jashn Arora","","","","",""
"CogSci","Implications of Stress on Abstract Problem Solving Ability","Sanskar Tibrewal","","","","",""
"CogSci","How Depression Influences Affective States","Himansh Sheoran, Priyanka Srivastava","","","","",""
"CSG","Accelerating Local laplacian Filters on FPGAs","Shashwat Khandelwal, Ziaul Choudhury, Shashwat Shrivastava, Suresh Purini","Image processing, Hardware Accelerator, FPGA","Hardware System","Technology designed and implemented","Robotics, Self-driving car, computer vision",""
"CSG","Fpga accelerator for stereo vision using semi-global matching through dependency relaxation","Shashwat Shrivastava, Ziaul Choudhury, Shashwat Khandelwal, Suresh Purini","Image processing, Hardware Accelerator, FPGA","Hardware System","Technology designed and implemented","Robotics, Self-driving car, computer vision",""
"CSG","TreeNet - An overlay architecture for vector reduction using a network of trees -","Ziaul Choudhury, Shashwat Shrivastava, Shashwat Khandelwal, Suresh Purini","Hardware Accelerator, Reduction","Hardware System","Technology designed and implemented","Machine Learining, Accelerator desings, Edge computing using FPGAs",""
"CSG","A overlay accelerator for CNN inference on fpgas with fine-grained flexible parallelism","Ziaul Choudhury and Suresh Purini","Machine Learning, Hardware Accelerator","Hardware System","Technology designed and implemented","Machine Learining, Accelerator desings, Edge computing using FPGAs",""
"CSG","FlowPix - An Image Processing DSL Based on an FPGA Overlay Accelerator","Ziaul Chouhdury, Anish Gulati and Suresh Purini","Image processing, Hardware Accelerator, FPGA","Hardware System","Technology designed and implemented","Image Processing, Computer Vision",""
"CSG","Accelerating LU Decompostion on fpgas","Krishna Maram, Ziaul Choudhury and Suresh Purini","Linear Algebra, Hardware Accelerator","Hardware System","Technology designed but not implemented","Linear Algebra Accelerator Designs, Edge computing, Computer vision",""
"CSG","E-PODS - A Fast Heuristic for Data - Service Delivery in Vehicular Edge Computing","Akshaj Gupta, Joseph John Cherukara, Deepak Gangadharan, BaekGyu Kim, Oleg Sokolsky and Insup Lee","Edge Computing, Connected Vehicles","Algorithm","Technology designed and implemented","Connected and self driving vehicles",""
